Month,Member,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,
Jan,IC/T,888,720,1032,1230,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,768,48,444,648,,,,,,,,,,,,,,,,,,,,,
Feb,IC/T,"1,062",1344,1104,1352,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,"1,200",528,1092,1308,,,,,,,,,,,,,,,,,,,,,
Mar,IC/T,"1,104","1,488",1200,1348,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,636,828,1152,1368,,,,,,,,,,,,,,,,,,,,,
Apr,IC/T,"1,080",1440,1258,1435,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,96,792,1200,1356,,,,,,,,,,,,,,,,,,,,,
May,IC/T,"1,056","1,200","1,032",1258,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,132,180,108,348,,,,,,,,,,,,,,,,,,,,,
Jun,IC/T,"1,248","1,210",864,1248,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,72,240,180,612,,,,,,,,,,,,,,,,,,,,,
Jul,IC/T,"1,032",936,744,744,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,48,348,144,804,,,,,,,,,,,,,,,,,,,,,
Aug,IC/T,792,832,936,960,,# of volunteer hours based on campus shifts covered.,,,,,,,,,,,,,,,,,,,
,DC/Observers,312,432,586,948,,,,,,,,,,,,,,,,,,,,,
Sep,IC/T,720,720,720,720,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,"1, 068",1200,1152,1248,,,,,,,,,,,,,,,,,,,,,
Oct,IC/T,768,789,840,754,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,"1, 055",1188,1332,1452,,,,,,,,,,,,,,,,,,,,,
Nov,IC/T,720,754,752,732,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,"1,008",1116,1320,1392,,,,,,,,,,,,,,,,,,,,,
Dec,IC/T,360,480,504,540,,,,,,,,,,,,,,,,,,,,,
,DC/Observers,192,444,552,572,,,,,,,,,,,,,,,,,,,,,
Total,,"15,294","19,257","20,248","24,377",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
